v,t
0.0,0.0
10,0.2
10,0.4
10,0.6000000000000001
10,0.8
10,1.0
10,1.2000000000000002
10,1.4
10,1.6
10,1.8
10,2.0
10,2.2
10,2.4000000000000004
10,2.6
10,2.8000000000000003
10,3.0
10,3.2
10,3.4000000000000004
10,3.6
10,3.8
10,4.0
10,4.2
10,4.4
10,4.6000000000000005
10,4.800000000000001
10,5.0
10,5.2
10,5.4
10,5.6000000000000005
10,5.800000000000001
10,6.0
10,6.2
10,6.4
10,6.6000000000000005
10,6.800000000000001
10,7.0
10,7.2
10,7.4
10,7.6
10,7.800000000000001
10,8.0
10,8.200000000000001
10,8.4
10,8.6
10,8.8
10,9.0
10,9.2
10,9.4
10,9.6
10,9.8
10,10.0
10,10.2
10,10.4
10,10.6
10,10.8
10,11.0
10,11.2
10,11.4
10,11.6
10,11.8
10,12.0
10,12.2
10,12.4
10,12.6
10,12.8
10,13.0
10,13.2
10,13.4
10,13.6
10,13.8
10,14.0
10,14.2
10,14.4
10,14.6
10,14.8
10,15.0
10,15.2
10,15.4
10,15.6
10,15.8
10,16.0
10,16.2
10,16.400000000000002
10,16.6
10,16.8
10,17.0
10,17.2
10,17.400000000000002
10,17.6
10,17.8
10,18.0
10,18.2
10,18.4
10,18.6
10,18.8
10,19.0
10,19.200000000000003
10,19.4
10,19.6
10,19.8
10,20.0
10,20.200000000000003
10,20.4
10,20.6
10,20.8
10,21.0
10,21.200000000000003
10,21.4
10,21.6
10,21.8
10,22.0
10,22.200000000000003
10,22.4
10,22.6
10,22.8
10,23.0
10,23.200000000000003
10,23.4
10,23.6
10,23.8
10,24.0
10,24.200000000000003
10,24.4
10,24.6
10,24.8
10,25.0
10,25.200000000000003
10,25.4
10,25.6
10,25.8
10,26.0
10,26.200000000000003
10,26.4
10,26.6
10,26.8
10,27.0
10,27.200000000000003
10,27.4
10,27.6
10,27.8
10,28.0
10,28.200000000000003
10,28.4
10,28.6
10,28.8
10,29.0
10,29.200000000000003
10,29.4
10,29.6
10,29.8
30.0,30.0
30.0,30.200000000000003
30.0,30.4
30.0,30.6
30.0,30.8
30.0,31.0
30.0,31.200000000000003
30.0,31.4
30.0,31.6
30.0,31.8
30.0,32.0
30.0,32.2
30.0,32.4
30.0,32.6
30.0,32.800000000000004
30.0,33.0
30.0,33.2
30.0,33.4
30.0,33.6
30.0,33.800000000000004
30.0,34.0
30.0,34.2
30.0,34.4
30.0,34.6
30.0,34.800000000000004
30.0,35.0
30.0,35.2
30.0,35.4
30.0,35.6
30.0,35.800000000000004
30.0,36.0
30.0,36.2
30.0,36.4
30.0,36.6
30.0,36.8
30.0,37.0
30.0,37.2
30.0,37.4
30.0,37.6
30.0,37.8
30.0,38.0
30.0,38.2
30.0,38.400000000000006
30.0,38.6
30.0,38.8
30.0,39.0
30.0,39.2
30.0,39.400000000000006
30.0,39.6
30.0,39.8
30.0,40.0
30.0,40.2
30.0,40.400000000000006
30.0,40.6
30.0,40.8
30.0,41.0
30.0,41.2
30.0,41.400000000000006
30.0,41.6
30.0,41.8
30.0,42.0
30.0,42.2
30.0,42.400000000000006
30.0,42.6
30.0,42.8
30.0,43.0
30.0,43.2
30.0,43.400000000000006
30.0,43.6
30.0,43.8
30.0,44.0
30.0,44.2
30.0,44.400000000000006
30.0,44.6
30.0,44.8
30.0,45.0
30.0,45.2
30.0,45.400000000000006
30.0,45.6
30.0,45.8
30.0,46.0
30.0,46.2
30.0,46.400000000000006
30.0,46.6
30.0,46.8
30.0,47.0
30.0,47.2
30.0,47.400000000000006
30.0,47.6
30.0,47.8
30.0,48.0
30.0,48.2
30.0,48.400000000000006
30.0,48.6
30.0,48.8
30.0,49.0
30.0,49.2
30.0,49.400000000000006
30.0,49.6
30.0,49.8
30.0,50.0
30.0,50.2
30.0,50.400000000000006
30.0,50.6
30.0,50.8
30.0,51.0
30.0,51.2
30.0,51.400000000000006
30.0,51.6
30.0,51.8
30.0,52.0
30.0,52.2
30.0,52.400000000000006
30.0,52.6
30.0,52.8
30.0,53.0
30.0,53.2
30.0,53.400000000000006
30.0,53.6
30.0,53.8
30.0,54.0
30.0,54.2
30.0,54.400000000000006
30.0,54.6
30.0,54.8
30.0,55.0
30.0,55.2
30.0,55.400000000000006
30.0,55.6
30.0,55.8
30.0,56.0
30.0,56.2
30.0,56.400000000000006
30.0,56.6
30.0,56.8
30.0,57.0
30.0,57.2
30.0,57.400000000000006
30.0,57.6
30.0,57.8
30.0,58.0
30.0,58.2
30.0,58.400000000000006
30.0,58.6
30.0,58.8
30.0,59.0
30.0,59.2
30.0,59.400000000000006
30.0,59.6
30.0,59.8
30.0,60.0
29.85,60.2
29.7,60.400000000000006
29.55,60.6
29.4,60.8
29.25,61.0
29.1,61.2
28.95,61.400000000000006
28.8,61.6
28.65,61.8
28.5,62.0
28.35,62.2
28.2,62.400000000000006
28.05,62.6
27.9,62.8
27.75,63.0
27.6,63.2
27.45,63.400000000000006
27.3,63.6
27.15,63.8
27.0,64.0
26.85,64.2
26.7,64.4
26.549999999999997,64.60000000000001
26.4,64.8
26.25,65.0
26.1,65.2
25.95,65.4
25.799999999999997,65.60000000000001
25.65,65.8
25.5,66.0
25.35,66.2
25.2,66.4
25.049999999999997,66.60000000000001
24.9,66.8
24.75,67.0
24.6,67.2
24.45,67.4
24.299999999999997,67.60000000000001
24.15,67.8
24.0,68.0
23.85,68.2
23.7,68.4
23.549999999999997,68.60000000000001
23.4,68.8
23.25,69.0
23.1,69.2
22.95,69.4
22.799999999999997,69.60000000000001
22.65,69.8
22.5,70.0
22.35,70.2
22.2,70.4
22.049999999999997,70.60000000000001
21.9,70.8
21.75,71.0
21.6,71.2
21.45,71.4
21.299999999999997,71.60000000000001
21.15,71.8
21.0,72.0
20.85,72.2
20.7,72.4
20.549999999999997,72.60000000000001
20.4,72.8
20.25,73.0
20.1,73.2
19.95,73.4
19.799999999999997,73.60000000000001
19.65,73.8
19.5,74.0
19.35,74.2
19.2,74.4
19.049999999999997,74.60000000000001
18.9,74.8
18.75,75.0
18.6,75.2
18.45,75.4
18.299999999999997,75.60000000000001
18.15,75.8
18.0,76.0
17.849999999999998,76.2
17.699999999999996,76.4
17.549999999999994,76.60000000000001
17.39999999999999,76.80000000000001
17.25,77.0
17.099999999999998,77.2
16.949999999999996,77.4
16.799999999999994,77.60000000000001
16.64999999999999,77.80000000000001
16.5,78.0
16.349999999999998,78.2
16.199999999999996,78.4
16.049999999999994,78.60000000000001
15.899999999999991,78.80000000000001
15.75,79.0
15.599999999999998,79.2
15.449999999999996,79.4
15.299999999999994,79.60000000000001
15.149999999999991,79.80000000000001
15.0,80.0
15.0,80.2
15.0,80.4
15.0,80.60000000000001
15.0,80.80000000000001
15.0,81.0
15.0,81.2
15.0,81.4
15.0,81.60000000000001
15.0,81.80000000000001
15.0,82.0
15.0,82.2
15.0,82.4
15.0,82.60000000000001
15.0,82.80000000000001
15.0,83.0
15.0,83.2
15.0,83.4
15.0,83.60000000000001
15.0,83.80000000000001
15.0,84.0
15.0,84.2
15.0,84.4
15.0,84.60000000000001
15.0,84.80000000000001
15.0,85.0
15.0,85.2
15.0,85.4
15.0,85.60000000000001
15.0,85.80000000000001
15.0,86.0
15.0,86.2
15.0,86.4
15.0,86.60000000000001
15.0,86.80000000000001
15.0,87.0
15.0,87.2
15.0,87.4
15.0,87.60000000000001
15.0,87.80000000000001
15.0,88.0
15.0,88.2
15.0,88.4
15.0,88.60000000000001
15.0,88.80000000000001
15.0,89.0
15.0,89.2
15.0,89.4
15.0,89.60000000000001
15.0,89.80000000000001
15.0,90.0
15.0,90.2
15.0,90.4
15.0,90.6
15.0,90.8
15.0,91.0
15.0,91.2
15.0,91.4
15.0,91.6
15.0,91.8
15.0,92.0
15.0,92.2
15.0,92.4
15.0,92.6
15.0,92.8
15.0,93.0
15.0,93.2
15.0,93.4
15.0,93.6
15.0,93.8
15.0,94.0
15.0,94.2
15.0,94.4
15.0,94.6
15.0,94.8
15.0,95.0
15.0,95.2
15.0,95.4
15.0,95.6
15.0,95.8
15.0,96.0
15.0,96.2
15.0,96.4
15.0,96.6
15.0,96.8
15.0,97.0
15.0,97.2
15.0,97.4
15.0,97.6
15.0,97.8
15.0,98.0
15.0,98.2
15.0,98.4
15.0,98.6
15.0,98.8
15.0,99.0
15.0,99.2
15.0,99.4
15.0,99.6
15.0,99.8
15.0,100.0
15.0,100.2
15.0,100.4
15.0,100.6
15.0,100.8
15.0,101.0
15.0,101.2
15.0,101.4
15.0,101.6
15.0,101.8
15.0,102.0
15.0,102.2
15.0,102.4
15.0,102.6
15.0,102.8
15.0,103.0
15.0,103.2
15.0,103.4
15.0,103.6
15.0,103.8
